id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
10595,"3 bedrooms, 2 bathrooms, 2nd floor with elevator",37177,Emmanouil,,ΑΜΠΕΛΟΚΗΠΟΙ,37.98863,23.76527,Entire home/apt,174,1,53,2024-07-08,0.33,7,340,10,00002433180
10990,Athens Quality Apartments - Deluxe Apartment,37177,Emmanouil,,ΑΜΠΕΛΟΚΗΠΟΙ,37.98903,23.76448,Entire home/apt,86,1,82,2024-07-29,0.56,7,350,16,00002433169
10993,Athens Quality Apartments - Studio,37177,Emmanouil,,ΑΜΠΕΛΟΚΗΠΟΙ,37.98888,23.76473,Entire home/apt,60,1,107,2024-08-19,0.73,7,341,15,00002433010
10995,"AQA-No2 1-bedroom, smart tv, fiber connection,",37177,Emmanouil,,ΑΜΠΕΛΟΚΗΠΟΙ,37.98903,23.76448,Entire home/apt,98,1,36,2024-07-19,0.21,7,350,6,00002433153
27262,"AQA-No7, Great mattress, high speed internet",37177,Emmanouil,,ΑΜΠΕΛΟΚΗΠΟΙ,37.98924,23.765,Entire home/apt,92,1,25,2024-01-13,0.17,7,358,4,00002433111
33945,Spacious Cosy aprtm very close to Metro!,146553,Katerina,,ΑΓΙΟΣ ΝΙΚΟΛΑΟΣ,38.00673,23.72775,Entire home/apt,35,4,73,2024-09-19,0.43,2,354,4,00000874421
49489,Ermou 44 - 3bdr apt in the heart of Athens,225612,Stathis,,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ,37.9767,23.73064,Entire home/apt,200,2,140,2024-07-14,0.88,1,323,6,00000876484
60394,Cosy apartment! Great central Athens location!,290864,Dimitra,,ΣΤΑΔΙΟ,37.96598,23.7419,Entire home/apt,50,6,32,2024-09-17,0.28,1,138,2,01039140005
133835,Studio in upscale/central location,656936,Elena,,ΚΟΛΩΝΑΚΙ,37.97794,23.74371,Entire home/apt,70,3,26,2024-09-06,0.16,1,281,5,00001227000
134340,Neo Pagrati Athens Apartment,659406,Konstantinos,,ΠΑΓΚΡΑΤΙ,37.96405,23.74968,Entire home/apt,35,3,55,2024-09-14,0.35,1,0,3,00002821300
154243,LUSCIOUS ROOF GARDEN IN THE CENTER!,741851,Yagos,,ΜΟΥΣΕΙΟ-ΕΞΑΡΧΕΙΑ-ΝΕΑΠΟΛΗ,37.98574,23.73323,Entire home/apt,65,2,209,2024-08-25,1.30,1,347,18,00000532953
155654,"Acropolis Cosy Apartment, Koukaki",712602,Nikos,,ΚΟΥΚΑΚΙ-ΜΑΚΡΥΓΙΑΝΝΗ,37.96694,23.72872,Entire home/apt,70,2,65,2023-10-14,0.52,2,0,3,00000429243
240960,ATHENS DESIGNER'S LOFT DOWNTOWN,1264236,Ioannis,,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ,37.97939,23.72528,Entire home/apt,124,2,88,2024-06-23,0.60,2,13,3,Exempt
270611,An Oasis in the Heart of Athens,1416651,Paul,,ΑΓΙΟΣ ΚΩΝΣΤΑΝΤΙΝΟΣ-ΠΛΑΤΕΙΑ ΒΑΘΗΣ,37.98586,23.72432,Entire home/apt,50,3,46,2023-06-25,0.31,1,364,0,00000040022
270954,"Airy apt next to Plaka, green rooftop w views! EP3",1418201,D & Y Boutique Athens,,ΚΕΡΑΜΕΙΚΟΣ,37.9802,23.72357,Entire home/apt,107,2,25,2023-09-28,0.17,39,267,1,00001814535
270973,Classy apt - priv. balconies - Athens Centre. EP1,1418201,D & Y Boutique Athens,,ΚΕΡΑΜΕΙΚΟΣ,37.9802,23.72357,Entire home/apt,107,2,30,2024-06-01,0.25,39,279,3,00001814520
306234,Athens AVATON - Parthenon Suite,1574876,Agis,,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ,37.97851,23.72479,Entire home/apt,414,2,678,2024-09-18,4.67,3,273,58,00002436244
308157,#AH32 Grey studio,1585338,Flavia,,ΜΟΥΣΕΙΟ-ΕΞΑΡΧΕΙΑ-ΝΕΑΠΟΛΗ,37.98729,23.74311,Entire home/apt,65,5,2,2016-04-05,0.02,20,275,0,00002834946
350321,BEAUTIFUL CENTRAL APARTMENT ATHENS,1775281,Christina,,ΣΤΑΔΙΟ,37.96493,23.74412,Entire home/apt,45,2,282,2024-08-24,1.88,1,336,20,00000505715
361393,Hermes Historical Center apt.,1826598,Apartments Historical Centre,,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ,37.97774,23.73,Entire home/apt,90,1,219,2024-07-06,1.45,3,64,2,00002514973
401423,Apartment with Leafy Backyard Steps from the Acropolis,745805,Ralou,,ΑΚΡΟΠΟΛΗ,37.96826,23.72777,Entire home/apt,80,2,568,2024-09-16,3.78,1,320,49,00000492384
408907,Downtown 70m² top floor apartment,2035514,Ranina,,ΑΓΙΟΣ ΚΩΝΣΤΑΝΤΙΝΟΣ-ΠΛΑΤΕΙΑ ΒΑΘΗΣ,37.98395,23.72165,Entire home/apt,65,2,178,2023-10-10,1.19,1,265,3,00000040427
469140,Our first love #01 | Thiseio Residencies,2289590,Live In Athens,,ΘΗΣΕΙΟ,37.97665,23.7185,Entire home/apt,161,1,109,2024-09-09,0.73,8,332,31,00000546911
474719,Artemis Historical Center cosy apt.,1826598,Apartments Historical Centre,,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ,37.97952,23.72999,Entire home/apt,50,1,253,2022-10-19,1.73,3,0,0,00002519361
484852,Cool apartment for urban lovers,408081,Dimitrios,,ΠΕΔΙΟ ΑΡΕΩΣ,37.99534,23.74058,Entire home/apt,33,7,55,2023-11-25,0.37,1,297,3,00000454145
484925,In the shadow of Acropolis-Breathtaking view,2371962,Rania,,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ,37.97291,23.72739,Entire home/apt,220,2,394,2024-09-14,2.63,2,324,34,00000223898
485570,Perfect  place for sightseeing,1682330,Tina,,ΠΕΤΡΑΛΩΝΑ,37.96815,23.7126,Entire home/apt,40,3,29,2024-08-31,0.20,1,44,9,00002493458
496416,Walk to Plaka-enjoy the green rooftop terrace! EP2,1418201,D & Y Boutique Athens,,ΚΕΡΑΜΕΙΚΟΣ,37.9802,23.72357,Entire home/apt,92,2,8,2021-10-16,0.06,39,265,0,00001815255
496503,2 interconnected apts. Walk to all sites! EP12,1418201,D & Y Boutique Athens,,ΚΕΡΑΜΕΙΚΟΣ,37.9802,23.72357,Entire home/apt,200,2,10,2024-06-09,0.08,39,275,1,00001814520
496561,In the shadow of Acropolis,2371962,Rania,,ΑΚΡΟΠΟΛΗ,37.97277,23.72745,Entire home/apt,120,2,23,2023-10-26,0.24,2,206,2,00000223898
1900810,#AH02 Kolonaki penthouse studio,1585338,Flavia,,ΚΟΛΩΝΑΚΙ,37.97709,23.745,Entire home/apt,85,5,16,2024-08-16,0.13,20,346,5,00001910004
1952753,Spacious apartment with big veranda,10095309,Lukas,,ΝΕΑ ΚΥΨΕΛΗ,37.99764,23.74302,Entire home/apt,49,2,142,2024-09-05,1.09,1,82,5,00000334645
2025216,#AH31 Olive studio,1585338,Flavia,,ΜΟΥΣΕΙΟ-ΕΞΑΡΧΕΙΑ-ΝΕΑΠΟΛΗ,37.98729,23.74312,Entire home/apt,64,5,3,2023-05-01,0.03,20,340,0,00002834972
2064939,"A&F Leisure and Business, Kolonaki Apartment",10487683,Fotis & Amalia,,ΜΟΥΣΕΙΟ-ΕΞΑΡΧΕΙΑ-ΝΕΑΠΟΛΗ,37.9828,23.73543,Entire home/apt,120,3,26,2023-09-08,0.41,1,229,0,00000769687
2069270,Hidesign Athens Tube Luxury Apt in Kolonaki,10581143,Pagona,,ΚΟΛΩΝΑΚΙ,37.97763,23.739,Entire home/apt,245,2,68,2024-08-27,0.54,11,327,35,00000497440
2096863,LUXURIOUS APARTMENT NEAR US EMBASSY,4434520,Giannitsa,,ΚΟΛΩΝΑΚΙ,37.98258590698242,23.752315521240234,Entire home/apt,120,3,11,2024-07-30,0.09,1,175,3,00000296721
2133917,"""Acro.Pool"" Private Heated Pool w/ Acropolis View",10888595,Haris,,ΑΚΑΔΗΜΙΑ ΠΛΑΤΩΝΟΣ,37.98691,23.71444,Entire home/apt,301,2,418,2024-08-31,3.20,2,327,35,2292573
2148876,Apartment ideal for family/4persons,5483061,Alexis,,ΓΟΥΔΙ,37.98208,23.7592,Entire home/apt,150,5,26,2022-10-30,0.21,1,362,0,00001696613
2180753,Vibrant Exarchia Flat,4207339,Michael,,ΜΟΥΣΕΙΟ-ΕΞΑΡΧΕΙΑ-ΝΕΑΠΟΛΗ,37.984822,23.7359202,Entire home/apt,70,4,16,2024-07-13,1.04,1,296,9,00001985020
2219385,Classy Apartment in the heart of Athens,11322414,Jessy,,ΣΤΑΔΙΟ,37.96538,23.74292,Entire home/apt,65,3,48,2024-06-09,0.43,3,84,8,00001175559
2235818,Design Apartment Near Acropolis,132057113,Plan-O,,ΚΟΥΚΑΚΙ-ΜΑΚΡΥΓΙΑΝΝΗ,37.9634,23.72275,Entire home/apt,83,3,91,2022-09-30,0.73,2,60,0,00001353159
2266094,Luxurious flat with Acropolis & Lycabettus view,3519983,Alexandra,,ΓΚΥΖΗ,37.99214,23.74923,Entire home/apt,110,7,50,2022-03-31,0.42,2,80,0,00001095564
2299339,One block away from the Akropolis.,11745220,Andronike,,ΚΟΥΚΑΚΙ-ΜΑΚΡΥΓΙΑΝΝΗ,37.9674,23.72522,Entire home/apt,95,2,450,2024-09-11,3.56,3,287,59,00001948000
2305770,"Acropolis walk,  Koukaki, 100 Mbps WiFi",11777249,Maria Vesna,,ΚΟΥΚΑΚΙ-ΜΑΚΡΥΓΙΑΝΝΗ,37.96427,23.72065,Entire home/apt,67,2,585,2024-08-27,4.53,2,223,15,00001860010
2322698,1869 Athens,9679915,Tassos,,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ,37.97980499267578,23.725061416625977,Entire home/apt,100,1,130,2024-09-16,1.30,1,34,14,00000068589
