id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
218831,Sea-life apartment,137588,Dimitrios,,Kalamaria,40.57274,22.95667,Entire home/apt,,4,1,2020-02-02,0.02,1,0,0,00000049330
376955,3 bedroom 145m2 apartment close to the seaside,1894819,Olivia,,Thessaloniki,40.59683,22.95394,Entire home/apt,50,28,19,2017-05-31,0.12,1,363,0,
483128,Cosy apt with terrace in Thessaloniki center!,2358521,Stelios,,Thessaloniki,40.6385498046875,22.950674057006836,Entire home/apt,52,2,416,2025-05-25,2.62,1,356,23,00000502736
494816,"City View Apartment  ""Thessaloniki""",1977386,Cristina&Tomas! Skgbnb,,Neapolis – Sykeon,40.64763,22.94309,Entire home/apt,37,20,47,2025-05-30,0.32,36,84,1,00001900000
550239,Kripis Studio Thessaloniki No1,1193625,,,Thessaloniki,40.64008,22.95598,Entire home/apt,40,7,10,2025-04-12,0.06,6,337,2,1133335
798646,LUXURIOUS & STYLISH APARTMENT IN THESSALONIKI,2890501,Francy,,Pilea – Chortiatis,40.58628,23.03393,Entire home/apt,109,7,7,2021-07-14,0.08,1,266,0,00001204888
817373,Hermes - Cosy central apartment,4293278,Andreas,,Thessaloniki,40.63968,22.93879,Entire home/apt,46,2,209,2024-12-31,1.37,2,331,2,00000057587
912803,This Must Be The Place,3835591,Olga,,Pavlou Mela,40.65929,22.93068,Private room,25,2,155,2025-06-09,1.08,1,341,15,00000477581
1006153,Kripis Studio Thessaloniki No4,1193625,,,Thessaloniki,40.64058,22.95678,Entire home/apt,54,7,18,2024-12-01,0.18,6,330,2,1133335
1007872,Cozy studio in old city near city center,5543143,Giannis,,Thessaloniki,40.6378,22.9571,Entire home/apt,27,3,63,2025-05-24,0.65,1,237,8,00000332400
1013340,Kripis Studio Thessaloniki No2,1193625,,,Thessaloniki,40.63974,22.95704,Entire home/apt,35,7,6,2023-11-03,0.07,6,294,0,1133335
1058022,Afrodite - Pantheon apartments,4293278,Andreas,,Thessaloniki,40.63955,22.93885,Entire home/apt,64,2,106,2022-12-18,0.72,2,274,0,00000126170
